subject_wallet,observer_wallet,role_id,role_name,kpi_name,rating_value,outcome_value,context_notes,observed_at,source,verified
0xSUBJECT_0001,0xOBSERVER_010,role-backend-dev,Backend Developer,code_quality,4,170.4,Jul-Sep 2024 observation,2025-11-16T17:37:20.914828Z,self_assessment,True
0xSUBJECT_0001,0xOBSERVER_007,role-backend-dev,Backend Developer,deployment_frequency,4,175.14,Cross-functional collaboration review,2025-10-21T17:37:20.914878Z,manager_review,True
0xSUBJECT_0001,0xOBSERVER_010,role-backend-dev,Backend Developer,bug_resolution_time,4,179.18,Jan-Mar 2024 observation,2025-03-14T17:37:20.914905Z,self_assessment,True
0xSUBJECT_0001,0xOBSERVER_015,role-backend-dev,Backend Developer,deployment_frequency,5,119.15,Jul-Sep 2024 observation,2025-11-22T17:37:20.914928Z,project_retrospective,True
0xSUBJECT_0001,0xOBSERVER_013,role-backend-dev,Backend Developer,api_response_time,4,200,Jul-Sep 2024 observation,2025-01-27T17:37:20.914949Z,self_assessment,True
0xSUBJECT_0001,0xOBSERVER_012,role-backend-dev,Backend Developer,code_quality,5,158.75,Peer and manager feedback synthesis,2025-03-19T17:37:20.914968Z,peer_review,True
0xSUBJECT_0001,0xOBSERVER_011,role-backend-dev,Backend Developer,test_coverage,5,161.38,Cross-functional collaboration review,2025-02-06T17:37:20.914987Z,manager_review,True
0xSUBJECT_0001,0xOBSERVER_007,role-backend-dev,Backend Developer,documentation_quality,4,197.88,Cross-functional collaboration review,2025-08-08T17:37:20.915010Z,peer_review,True
0xSUBJECT_0001,0xOBSERVER_012,role-backend-dev,Backend Developer,test_coverage,4,183.7,Q4 2024 performance review,2025-05-15T17:37:20.915031Z,peer_review,True
0xSUBJECT_0001,0xOBSERVER_010,role-backend-dev,Backend Developer,deployment_frequency,4,189.46,Q2 2024 performance review,2025-03-20T17:37:20.915050Z,self_assessment,True
0xSUBJECT_0001,0xOBSERVER_015,role-backend-dev,Backend Developer,code_quality,4,194.96,Multi-sprint performance analysis,2025-06-27T17:37:20.915070Z,project_retrospective,True
0xSUBJECT_0001,0xOBSERVER_014,role-backend-dev,Backend Developer,test_coverage,4,189.14,Oct-Dec 2024 observation,2025-10-05T17:37:20.915089Z,self_assessment,False
0xSUBJECT_0001,0xOBSERVER_014,role-backend-dev,Backend Developer,documentation_quality,4,166.72,2 month observation period,2025-08-22T17:37:20.915110Z,manager_review,False
0xSUBJECT_0001,0xOBSERVER_004,role-backend-dev,Backend Developer,test_coverage,5,172.93,Jul-Sep 2024 observation,2025-05-06T17:37:20.915128Z,manager_review,True
0xSUBJECT_0002,0xOBSERVER_005,role-backend-dev,Backend Developer,deployment_frequency,4,165.06,6 month observation period,2025-11-22T17:37:20.915148Z,self_assessment,True
0xSUBJECT_0002,0xOBSERVER_015,role-backend-dev,Backend Developer,code_quality,4,173.81,Q2 2024 performance review,2025-08-16T17:37:20.915166Z,project_retrospective,True
0xSUBJECT_0002,0xOBSERVER_013,role-backend-dev,Backend Developer,documentation_quality,4,159.33,Peer and manager feedback synthesis,2025-07-20T17:37:20.915183Z,peer_review,True
0xSUBJECT_0002,0xOBSERVER_012,role-backend-dev,Backend Developer,code_quality,4,158.95,4 month observation period,2025-05-18T17:37:20.915201Z,manager_review,True
