subject_wallet,observer_wallet,role_id,role_name,kpi_name,rating_value,outcome_value,context_notes,observed_at,source,verified
0xSUBJECT_0002,0xOBSERVER_003,role-devops-eng,DevOps Engineer,api_response_time,5,200,Oct-Dec 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0003,0xOBSERVER_015,role-frontend-dev,Frontend Developer,test_coverage,4,200,5 month observation period,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0003,0xOBSERVER_004,role-frontend-dev,Frontend Developer,api_response_time,5,197.8,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0004,0xOBSERVER_008,role-product-manager,Product Manager,deployment_frequency,3,158.2,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0004,0xOBSERVER_012,role-product-manager,Product Manager,bug_resolution_time,4,166.34,Q4 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0004,0xOBSERVER_008,role-product-manager,Product Manager,bug_resolution_time,3,175.58,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,False
0xSUBJECT_0005,0xOBSERVER_011,role-qa-engineer,QA Engineer,bug_resolution_time,2,129.36,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0005,0xOBSERVER_012,role-qa-engineer,QA Engineer,test_coverage,4,159.95,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0006,0xOBSERVER_003,role-backend-dev,Backend Developer,code_quality,4,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0008,0xOBSERVER_015,role-product-manager,Product Manager,test_coverage,5,163.16,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0011,0xOBSERVER_007,role-backend-dev,Backend Developer,deployment_frequency,3,166.97,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0012,0xOBSERVER_009,role-frontend-dev,Frontend Developer,bug_resolution_time,3,196.85,Project delivery assessment,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0013,0xOBSERVER_010,role-devops-eng,DevOps Engineer,bug_resolution_time,5,200,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0013,0xOBSERVER_008,role-devops-eng,DevOps Engineer,test_coverage,4,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0015,0xOBSERVER_014,role-devops-eng,DevOps Engineer,api_response_time,4,163.85,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0016,0xOBSERVER_009,role-qa-engineer,QA Engineer,deployment_frequency,3,198.05,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0016,0xOBSERVER_003,role-qa-engineer,QA Engineer,test_coverage,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0016,0xOBSERVER_001,role-qa-engineer,QA Engineer,documentation_quality,4,195.67,Project delivery assessment,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0017,0xOBSERVER_006,role-devops-eng,DevOps Engineer,deployment_frequency,4,157.93,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0018,0xOBSERVER_006,role-backend-dev,Backend Developer,code_quality,4,150.96,3 month observation period,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0019,0xOBSERVER_002,role-product-manager,Product Manager,api_response_time,2,151.38,Q4 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0020,0xOBSERVER_014,role-qa-engineer,QA Engineer,bug_resolution_time,3,185.17,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0020,0xOBSERVER_002,role-qa-engineer,QA Engineer,documentation_quality,4,160.35,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0020,0xOBSERVER_002,role-qa-engineer,QA Engineer,test_coverage,4,193.33,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0022,0xOBSERVER_014,role-product-manager,Product Manager,deployment_frequency,5,172.17,5 month observation period,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0023,0xOBSERVER_011,role-devops-eng,DevOps Engineer,code_quality,3,150.48,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0023,0xOBSERVER_013,role-devops-eng,DevOps Engineer,bug_resolution_time,4,110.28,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,manager_review,False
0xSUBJECT_0024,0xOBSERVER_005,role-backend-dev,Backend Developer,bug_resolution_time,5,199.83,Q3 2024 performance review,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0025,0xOBSERVER_007,role-frontend-dev,Frontend Developer,api_response_time,5,195.22,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0026,0xOBSERVER_008,role-backend-dev,Backend Developer,test_coverage,3,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0026,0xOBSERVER_003,role-backend-dev,Backend Developer,test_coverage,4,191.1,Project delivery assessment,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0027,0xOBSERVER_009,role-backend-dev,Backend Developer,api_response_time,4,191.87,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0027,0xOBSERVER_012,role-backend-dev,Backend Developer,bug_resolution_time,3,160.13,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0028,0xOBSERVER_013,role-qa-engineer,QA Engineer,deployment_frequency,5,192.31,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0029,0xOBSERVER_005,role-devops-eng,DevOps Engineer,documentation_quality,5,200,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0029,0xOBSERVER_001,role-devops-eng,DevOps Engineer,api_response_time,5,148.96,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0029,0xOBSERVER_003,role-devops-eng,DevOps Engineer,deployment_frequency,5,161.53,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0030,0xOBSERVER_013,role-devops-eng,DevOps Engineer,documentation_quality,4,174.51,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0030,0xOBSERVER_002,role-devops-eng,DevOps Engineer,bug_resolution_time,4,191.3,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0030,0xOBSERVER_003,role-devops-eng,DevOps Engineer,test_coverage,5,183.75,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0032,0xOBSERVER_003,role-backend-dev,Backend Developer,test_coverage,5,199.25,Oct-Dec 2024 observation,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0032,0xOBSERVER_013,role-backend-dev,Backend Developer,test_coverage,5,162.96,2 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0034,0xOBSERVER_007,role-frontend-dev,Frontend Developer,deployment_frequency,3,161.6,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0034,0xOBSERVER_001,role-frontend-dev,Frontend Developer,deployment_frequency,5,186.83,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0035,0xOBSERVER_006,role-qa-engineer,QA Engineer,documentation_quality,5,200,4 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0036,0xOBSERVER_009,role-product-manager,Product Manager,documentation_quality,4,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0038,0xOBSERVER_005,role-backend-dev,Backend Developer,api_response_time,5,200,Q1 2024 performance review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0038,0xOBSERVER_002,role-backend-dev,Backend Developer,documentation_quality,5,152.7,Project delivery assessment,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0041,0xOBSERVER_008,role-frontend-dev,Frontend Developer,bug_resolution_time,4,184.82,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0042,0xOBSERVER_010,role-product-manager,Product Manager,deployment_frequency,2,144.66,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0042,0xOBSERVER_004,role-product-manager,Product Manager,bug_resolution_time,3,131.32,5 month observation period,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0043,0xOBSERVER_011,role-devops-eng,DevOps Engineer,code_quality,3,164.67,Project delivery assessment,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0043,0xOBSERVER_008,role-devops-eng,DevOps Engineer,test_coverage,3,193.77,Oct-Dec 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0043,0xOBSERVER_007,role-devops-eng,DevOps Engineer,api_response_time,4,144.37,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0044,0xOBSERVER_012,role-qa-engineer,QA Engineer,documentation_quality,4,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0044,0xOBSERVER_010,role-qa-engineer,QA Engineer,bug_resolution_time,5,160.7,Q3 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0044,0xOBSERVER_005,role-qa-engineer,QA Engineer,code_quality,5,200,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0044,0xOBSERVER_007,role-qa-engineer,QA Engineer,api_response_time,5,191.28,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,False
0xSUBJECT_0046,0xOBSERVER_010,role-frontend-dev,Frontend Developer,api_response_time,2,138.63,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0046,0xOBSERVER_014,role-frontend-dev,Frontend Developer,api_response_time,2,130.73,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0047,0xOBSERVER_013,role-product-manager,Product Manager,deployment_frequency,4,200,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0048,0xOBSERVER_004,role-product-manager,Product Manager,bug_resolution_time,4,167.12,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0048,0xOBSERVER_003,role-product-manager,Product Manager,api_response_time,3,163.9,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0049,0xOBSERVER_008,role-product-manager,Product Manager,test_coverage,2,173.17,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0049,0xOBSERVER_003,role-product-manager,Product Manager,bug_resolution_time,4,152.35,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0050,0xOBSERVER_005,role-frontend-dev,Frontend Developer,test_coverage,4,180.92,Q4 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0050,0xOBSERVER_008,role-frontend-dev,Frontend Developer,code_quality,3,197.87,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0051,0xOBSERVER_006,role-frontend-dev,Frontend Developer,test_coverage,3,143.74,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0052,0xOBSERVER_012,role-backend-dev,Backend Developer,test_coverage,1,122.55,6 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0055,0xOBSERVER_012,role-qa-engineer,QA Engineer,api_response_time,4,130.8,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0056,0xOBSERVER_001,role-qa-engineer,QA Engineer,code_quality,4,200,Project delivery assessment,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0056,0xOBSERVER_014,role-qa-engineer,QA Engineer,test_coverage,4,150.78,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,False
0xSUBJECT_0056,0xOBSERVER_003,role-qa-engineer,QA Engineer,code_quality,4,180.17,6 month observation period,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0058,0xOBSERVER_011,role-product-manager,Product Manager,bug_resolution_time,3,146.4,Project delivery assessment,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0060,0xOBSERVER_005,role-backend-dev,Backend Developer,bug_resolution_time,4,193.29,3 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,False
