subject_wallet,observer_wallet,role_id,role_name,kpi_name,rating_value,outcome_value,context_notes,observed_at,source,verified
0xSUBJECT_0002,0xOBSERVER_005,role-frontend-dev,Frontend Developer,api_response_time,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0002,0xOBSERVER_007,role-frontend-dev,Frontend Developer,deployment_frequency,5,174.38,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0005,0xOBSERVER_012,role-qa-engineer,QA Engineer,code_quality,3,181.19,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0007,0xOBSERVER_010,role-devops-eng,DevOps Engineer,documentation_quality,3,105.45,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0009,0xOBSERVER_001,role-qa-engineer,QA Engineer,api_response_time,4,200,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0011,0xOBSERVER_012,role-backend-dev,Backend Developer,documentation_quality,3,200,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0012,0xOBSERVER_008,role-backend-dev,Backend Developer,code_quality,2,173.45,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0012,0xOBSERVER_002,role-backend-dev,Backend Developer,bug_resolution_time,3,123.54,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0013,0xOBSERVER_014,role-qa-engineer,QA Engineer,code_quality,4,108.68,Q3 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0013,0xOBSERVER_010,role-qa-engineer,QA Engineer,test_coverage,2,123.72,Oct-Dec 2024 observation,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0014,0xOBSERVER_005,role-qa-engineer,QA Engineer,test_coverage,5,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0015,0xOBSERVER_002,role-product-manager,Product Manager,bug_resolution_time,4,172.69,Q1 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0015,0xOBSERVER_005,role-product-manager,Product Manager,documentation_quality,3,159.3,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0016,0xOBSERVER_012,role-frontend-dev,Frontend Developer,documentation_quality,3,111.68,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0019,0xOBSERVER_003,role-frontend-dev,Frontend Developer,deployment_frequency,2,184.54,4 month observation period,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0021,0xOBSERVER_012,role-backend-dev,Backend Developer,test_coverage,3,119.12,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0022,0xOBSERVER_011,role-product-manager,Product Manager,documentation_quality,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0022,0xOBSERVER_007,role-product-manager,Product Manager,documentation_quality,4,133.14,Q4 2024 performance review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0023,0xOBSERVER_012,role-backend-dev,Backend Developer,api_response_time,3,155.06,3 month observation period,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0024,0xOBSERVER_015,role-product-manager,Product Manager,documentation_quality,4,144.32,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0025,0xOBSERVER_008,role-devops-eng,DevOps Engineer,deployment_frequency,3,148.59,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0027,0xOBSERVER_002,role-backend-dev,Backend Developer,deployment_frequency,4,200,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0028,0xOBSERVER_015,role-backend-dev,Backend Developer,documentation_quality,3,200,6 month observation period,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0029,0xOBSERVER_007,role-devops-eng,DevOps Engineer,bug_resolution_time,5,152.43,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0029,0xOBSERVER_002,role-devops-eng,DevOps Engineer,documentation_quality,5,200,Q1 2024 performance review,2024-12-27T21:32:59.318116Z,manager_review,False
0xSUBJECT_0029,0xOBSERVER_014,role-devops-eng,DevOps Engineer,api_response_time,5,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0030,0xOBSERVER_003,role-frontend-dev,Frontend Developer,deployment_frequency,3,146.09,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0031,0xOBSERVER_012,role-backend-dev,Backend Developer,api_response_time,2,171.85,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0034,0xOBSERVER_006,role-devops-eng,DevOps Engineer,api_response_time,4,180.34,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0034,0xOBSERVER_011,role-devops-eng,DevOps Engineer,api_response_time,5,169.41,3 month observation period,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0035,0xOBSERVER_004,role-backend-dev,Backend Developer,bug_resolution_time,4,199.96,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0035,0xOBSERVER_005,role-backend-dev,Backend Developer,documentation_quality,4,191.71,Q1 2024 performance review,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0035,0xOBSERVER_007,role-backend-dev,Backend Developer,test_coverage,5,193.53,Q3 2024 performance review,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0035,0xOBSERVER_013,role-backend-dev,Backend Developer,deployment_frequency,4,200,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0036,0xOBSERVER_009,role-qa-engineer,QA Engineer,bug_resolution_time,4,175.87,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0036,0xOBSERVER_012,role-qa-engineer,QA Engineer,api_response_time,5,163.87,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0037,0xOBSERVER_009,role-backend-dev,Backend Developer,code_quality,2,143.76,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0039,0xOBSERVER_009,role-frontend-dev,Frontend Developer,deployment_frequency,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0040,0xOBSERVER_007,role-devops-eng,DevOps Engineer,bug_resolution_time,5,151.94,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0040,0xOBSERVER_001,role-devops-eng,DevOps Engineer,documentation_quality,4,136.61,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0040,0xOBSERVER_003,role-devops-eng,DevOps Engineer,documentation_quality,3,159.93,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0041,0xOBSERVER_015,role-product-manager,Product Manager,documentation_quality,4,171.07,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0041,0xOBSERVER_005,role-product-manager,Product Manager,documentation_quality,3,103.98,3 month observation period,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0043,0xOBSERVER_002,role-backend-dev,Backend Developer,deployment_frequency,3,123.35,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0043,0xOBSERVER_015,role-backend-dev,Backend Developer,api_response_time,2,160.47,6 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0044,0xOBSERVER_004,role-backend-dev,Backend Developer,api_response_time,4,153.62,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0045,0xOBSERVER_002,role-backend-dev,Backend Developer,code_quality,4,168.85,Oct-Dec 2024 observation,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0045,0xOBSERVER_007,role-backend-dev,Backend Developer,deployment_frequency,5,154.66,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0046,0xOBSERVER_005,role-devops-eng,DevOps Engineer,api_response_time,4,186.41,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0047,0xOBSERVER_012,role-product-manager,Product Manager,bug_resolution_time,3,169.22,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0047,0xOBSERVER_015,role-product-manager,Product Manager,code_quality,4,131.03,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0049,0xOBSERVER_008,role-qa-engineer,QA Engineer,code_quality,3,100.12,Q4 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0050,0xOBSERVER_007,role-backend-dev,Backend Developer,documentation_quality,5,92.9,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0053,0xOBSERVER_013,role-product-manager,Product Manager,deployment_frequency,3,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0056,0xOBSERVER_007,role-backend-dev,Backend Developer,bug_resolution_time,5,190.65,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0057,0xOBSERVER_013,role-frontend-dev,Frontend Developer,code_quality,4,200,2 month observation period,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0057,0xOBSERVER_011,role-frontend-dev,Frontend Developer,deployment_frequency,5,200,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,peer_review,False
0xSUBJECT_0058,0xOBSERVER_009,role-frontend-dev,Frontend Developer,test_coverage,4,200,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0058,0xOBSERVER_006,role-frontend-dev,Frontend Developer,deployment_frequency,5,200,Apr-Jun 2024 observation,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0059,0xOBSERVER_007,role-backend-dev,Backend Developer,code_quality,5,200,Project delivery assessment,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0060,0xOBSERVER_009,role-devops-eng,DevOps Engineer,code_quality,3,112.05,Q3 2024 performance review,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0061,0xOBSERVER_009,role-frontend-dev,Frontend Developer,bug_resolution_time,4,118.58,Jul-Sep 2024 observation,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0061,0xOBSERVER_007,role-frontend-dev,Frontend Developer,test_coverage,5,164.37,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0063,0xOBSERVER_015,role-qa-engineer,QA Engineer,bug_resolution_time,5,200,Q2 2024 performance review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0064,0xOBSERVER_004,role-qa-engineer,QA Engineer,bug_resolution_time,4,137.84,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,manager_review,True
0xSUBJECT_0064,0xOBSERVER_014,role-qa-engineer,QA Engineer,api_response_time,4,200,Jan-Mar 2024 observation,2024-12-27T21:32:59.318116Z,self_assessment,True
0xSUBJECT_0065,0xOBSERVER_011,role-backend-dev,Backend Developer,deployment_frequency,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0068,0xOBSERVER_004,role-product-manager,Product Manager,api_response_time,3,157.67,Q1 2024 performance review,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0070,0xOBSERVER_010,role-devops-eng,DevOps Engineer,deployment_frequency,2,159.84,Cross-functional collaboration review,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0073,0xOBSERVER_015,role-backend-dev,Backend Developer,test_coverage,5,200,Project delivery assessment,2024-12-27T21:32:59.318116Z,project_retrospective,True
0xSUBJECT_0075,0xOBSERVER_004,role-qa-engineer,QA Engineer,bug_resolution_time,3,178.13,Project delivery assessment,2024-12-27T21:32:59.318116Z,self_assessment,False
0xSUBJECT_0075,0xOBSERVER_007,role-qa-engineer,QA Engineer,test_coverage,4,200,Multi-sprint performance analysis,2024-12-27T21:32:59.318116Z,peer_review,True
0xSUBJECT_0075,0xOBSERVER_012,role-qa-engineer,QA Engineer,documentation_quality,3,126.85,Peer and manager feedback synthesis,2024-12-27T21:32:59.318116Z,project_retrospective,False
0xSUBJECT_0076,0xOBSERVER_012,role-qa-engineer,QA Engineer,test_coverage,2,150.56,3 month observation period,2024-12-27T21:32:59.318116Z,manager_review,True
