subject_wallet,observer_wallet,role_id,role_name,kpi_name,rating_value,outcome_value,context_notes,observed_at,source,verified
0xSUBJECT001,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,deployment_frequency,3,117.73,Evaluated during Q1 2024 performance review,2025-10-29T15:12:14.608185Z,synthetic,True
0xSUBJECT001,0xOBSERVER02,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,code_quality,4,156.15,Based on peer feedback and metrics,2025-10-05T15:12:14.608215Z,synthetic,False
0xSUBJECT001,0xOBSERVER02,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,deployment_frequency,4,159.95,Evaluated during Q2 2024 performance review,2025-10-16T15:12:14.608232Z,synthetic,False
0xSUBJECT001,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,deployment_frequency,4,173.23,Evaluated during Q4 2024 performance review,2025-11-13T15:12:14.608247Z,synthetic,False
0xSUBJECT001,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,documentation_quality,4,118.87,Observation period: Jul-Sep 2024,2025-11-13T15:12:14.608263Z,synthetic,True
0xSUBJECT001,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,test_coverage,3,133.13,Consistent performance across sprint cycles,2025-10-14T15:12:14.608276Z,synthetic,True
0xSUBJECT002,0xOBSERVER02,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,code_quality,2,106.5,Observation period: Jul-Sep 2024,2025-06-14T15:12:14.608291Z,synthetic,True
0xSUBJECT002,0xOBSERVER04,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,api_response_time,3,90.42,Measured over 3 month period,2025-07-02T15:12:14.608309Z,synthetic,False
0xSUBJECT002,0xOBSERVER04,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,documentation_quality,2,60.65,Measured over 3 month period,2025-07-04T15:12:14.608320Z,synthetic,False
0xSUBJECT002,0xOBSERVER02,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,code_quality,4,159.66,Observation period: Apr-Jun 2024,2025-11-12T15:12:14.608329Z,synthetic,False
0xSUBJECT002,0xOBSERVER01,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,bug_resolution_time,3,113.16,Evaluated during Q3 2024 performance review,2025-07-28T15:12:14.608336Z,synthetic,False
0xSUBJECT002,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,documentation_quality,2,66.67,Observation period: Jul-Sep 2024,2025-07-31T15:12:14.608352Z,synthetic,True
0xSUBJECT002,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,documentation_quality,4,112.26,Based on peer feedback and metrics,2025-10-05T15:12:14.608359Z,synthetic,True
0xSUBJECT002,0xOBSERVER03,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,bug_resolution_time,3,97.19,Observation period: Apr-Jun 2024,2025-08-24T15:12:14.608367Z,synthetic,True
0xSUBJECT002,0xOBSERVER04,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,deployment_frequency,4,192.09,Measured over 3 month period,2025-07-11T15:12:14.608374Z,synthetic,True
0xSUBJECT002,0xOBSERVER04,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,api_response_time,5,177.77,Consistent performance across sprint cycles,2025-06-01T15:12:14.608381Z,synthetic,False
0xSUBJECT002,0xOBSERVER04,a1b2c3d4-3333-4444-8888-000000000003,DevOps Engineer,bug_resolution_time,2,77.98,Observation period: Apr-Jun 2024,2025-08-30T15:12:14.608388Z,synthetic,True
